"Time,""ID"",""AssetType"",""ProductionVolumeMWh"",""ProductionVolumeNoDerateMWh"""
"2022-04,""5549ab48-09c0-49fa-958d-92b030a5f5d6"",""WindFarm"",1394.15,1394.35"
"2022-05,""5549ab48-09c0-49fa-958d-92b030a5f5d6"",""WindFarm"",1043.79,1043.79"
"2022-03,""559c9ba7-bab8-4b61-b89c-93ebeb70b2e5"",""WindFarm"",1719.92,1737.6"
"2022-04,""559c9ba7-bab8-4b61-b89c-93ebeb70b2e5"",""WindFarm"",2280.52,2321.01"
"2022-05,""559c9ba7-bab8-4b61-b89c-93ebeb70b2e5"",""WindFarm"",1604.92,1604.92"
"2022-03,""57802e4f-b770-4686-844b-aec64642e07a"",""WindFarm"",1810.42,1812.36"
"2022-04,""57802e4f-b770-4686-844b-aec64642e07a"",""WindFarm"",2585.42,2649.22"
"2022-05,""57802e4f-b770-4686-844b-aec64642e07a"",""WindFarm"",1605.48,1707.09"
"2022-03,""64ce53fe-40d4-4842-9e34-99af770755e0"",""WindFarm"",780.26,780.27"
"2022-04,""64ce53fe-40d4-4842-9e34-99af770755e0"",""WindFarm"",979.38,982.11"
"2022-05,""64ce53fe-40d4-4842-9e34-99af770755e0"",""WindFarm"",770.02,770.13"
"2022-03,""653d461d-eaec-494a-8e59-2885e9a8e0be"",""WindFarm"",403.53,403.53"
"2022-04,""653d461d-eaec-494a-8e59-2885e9a8e0be"",""WindFarm"",818.89,822.13"
"2022-05,""653d461d-eaec-494a-8e59-2885e9a8e0be"",""WindFarm"",503.1,503.1"
"2022-03,""6675e33b-aaf6-495e-a76d-393368f56271"",""WindFarm"",456.11,456.11"
"2022-04,""6675e33b-aaf6-495e-a76d-393368f56271"",""WindFarm"",779.99,779.99"
"2022-05,""6675e33b-aaf6-495e-a76d-393368f56271"",""WindFarm"",547.56,547.58"
"2022-03,""690b6fd5-c73c-408d-80a8-d3c239e2b48e"",""WindFarm"",679.49,680.04"
"2022-04,""690b6fd5-c73c-408d-80a8-d3c239e2b48e"",""WindFarm"",897.35,897.35"
"2022-05,""690b6fd5-c73c-408d-80a8-d3c239e2b48e"",""WindFarm"",810.38,810.38"
